Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay,Hour,Day,Day_of_Week,Month,Month_Name,Is_Weekend,Utilization_Band,Inventory_Band,Inventory_Coverage,Purchase_Frequency_Band,Demand_Normalized,Utilization_Normalized,Waiting_Normalized,Operational_Stress_Score,Operational_Stress_Level,Week_of_Year,Time_Period,Inventory_Demand_Gap,Stock_Risk,Fleet_Load_Index,Fleet_Load_Index_Normalized,Demand_Score,Utilization_Score,Waiting_Score,Customer_Value_Index,Customer_Value_Segment,Traffic_Level,Traffic_Utilization_Interaction,Demand_Traffic_Interaction,Utilization_Waiting_Interaction,Pre_Dispatch_Stress_Score,Distance_From_Center
2024-03-20 00:11:14,Truck_7,-65.7383,11.2497,390,Delayed,27.0,67.8,Detour,38,320,4,,60.1,285,1,0,20,2,3,March,0,High,Medium-High,1.368421052631579,Medium-Low,0.925,0.0025000000000001,0.56,0.4958333333333334,Medium,12,Night,105,0,17128.5,0.472232766801829,0.925,0.0025000000000001688,0.56,1280,Medium Value,,,,2283.8,0.4637500000000001,65.2148517668157
2024-10-30 07:53:51,Truck_6,22.2748,-131.7086,491,In Transit,22.5,54.3,Heavy,16,439,7,Weather,80.9,174,1,7,30,2,10,October,0,Very High,High,2.82183908045977,Medium-High,0.37,0.5225000000000004,0.12,0.3375000000000001,Medium,44,Morning,317,0,14076.6,0.3405832111120698,0.37,0.5225000000000004,0.12,3073,Very High Value,,,,1294.4,0.4462500000000002,134.63638880531371
2024-07-29 18:42:48,Truck_10,54.9232,79.5455,190,In Transit,25.2,62.2,Detour,34,355,3,,99.2,260,0,18,29,0,7,July,0,Very High,Low,0.7307692307692307,Low,0.8,0.9800000000000004,0.48,0.7533333333333335,High,31,Evening,-70,1,25792.0,0.8459494435337762,0.8,0.9800000000000004,0.48000000000000004,1065,Medium Value,,,,3372.8,0.8900000000000002,96.76171402191213
2024-10-28 00:50:54,Truck_9,42.39,-1.4788,330,Delivered,25.4,52.3,Heavy,37,227,5,Traffic,97.4,160,1,0,28,0,10,October,0,Very High,Medium-High,2.0625,Medium-Low,0.3,0.9350000000000004,0.54,0.5916666666666669,Medium,44,Night,170,0,15584.0,0.4056077991545165,0.30000000000000004,0.9350000000000005,0.54,1135,Medium Value,,,,3603.8,0.6175000000000003,43.81134280795563
2024-09-27 15:52:58,Truck_7,-65.8477,47.9468,480,Delayed,20.5,57.2,Clear,56,197,6,,71.6,270,1,15,27,4,9,September,0,High,High,1.7777777777777777,Medium-Low,0.8500000000000001,0.29,0.9200000000000002,0.6866666666666669,High,39,Afternoon,210,0,19332.0,0.5672849624708827,0.8500000000000001,0.29000000000000004,0.9200000000000002,1182,Medium Value,,,,4009.5999999999995,0.5700000000000001,79.8622573991024
2024-09-17 06:02:15,Truck_7,73.3312,46.5831,118,In Transit,24.3,61.8,Clear,56,258,10,,66.8,189,0,6,17,1,9,September,0,High,Low,0.6243386243386243,High,0.445,0.1699999999999999,0.9200000000000002,0.5116666666666667,Medium,38,Morning,-71,1,12625.199999999999,0.27797429039772237,0.44500000000000006,0.16999999999999993,0.9200000000000002,2580,Very High Value,,,,3740.7999999999997,0.3075,87.58704459851711
2024-02-05 08:38:56,Truck_4,27.9307,147.5317,480,Delayed,20.7,75.4,Clear,32,263,3,,73.3,198,1,8,5,0,2,February,0,High,High,2.4242424242424243,Low,0.49,0.3325,0.44,0.4208333333333333,Medium,6,Morning,282,0,14513.4,0.3594254162712449,0.49,0.3325,0.44,789,Medium Value,,,,2345.6,0.41125,149.59034458308778
2024-09-28 09:08:23,Truck_9,46.5643,-126.5348,222,In Transit,23.3,64.2,Detour,30,459,9,Traffic,73.8,253,0,9,28,5,9,September,1,High,Medium-Low,0.8774703557312253,High,0.7650000000000001,0.345,0.3999999999999999,0.5033333333333333,Medium,39,Morning,-31,1,18671.399999999998,0.5387887153826244,0.7650000000000001,0.345,0.39999999999999997,4131,Very High Value,,,,2214.0,0.555,136.0894385993394
2024-01-18 08:27:04,Truck_9,-83.6737,-31.7125,245,Delivered,26.4,77.2,Clear,14,183,2,,69.6,206,0,8,18,3,1,January,0,High,Medium-Low,1.1893203883495145,Low,0.53,0.24,0.08,0.2833333333333334,Low,3,Morning,39,0,14337.599999999999,0.35184194633767574,0.53,0.24,0.08000000000000002,366,Low Value,,,,974.3999999999999,0.385,88.51555285256272
2024-11-09 00:48:26,Truck_2,54.1683,-135.2676,389,In Transit,21.9,57.3,Clear,52,127,7,Mechanical Failure,63.1,224,0,0,9,5,11,November,1,High,Medium-High,1.7366071428571428,Medium-High,0.6200000000000001,0.0775000000000001,0.8400000000000001,0.5125000000000001,Medium,45,Night,165,0,14134.4,0.34307652489000084,0.6200000000000001,0.07750000000000012,0.8400000000000001,889,Medium Value,,,,3281.2000000000003,0.3487500000000001,146.99618306926206
2024-01-09 23:19:43,Truck_9,82.9633,-154.5274,319,Delayed,22.0,53.5,Clear,28,360,4,,69.8,171,1,23,9,1,1,January,0,High,Medium-High,1.8654970760233918,Medium-Low,0.355,0.2450000000000001,0.36,0.32,Low,2,Late_Evening,148,0,11935.8,0.248235700112156,0.355,0.2450000000000001,0.36000000000000004,1440,High Value,,,,1954.3999999999999,0.30000000000000004,176.77258419102904
2024-02-02 22:28:16,Truck_10,-25.2768,156.1262,234,Delivered,29.7,63.6,Detour,13,406,10,Traffic,85.5,238,0,22,2,4,2,February,0,Very High,Medium-Low,0.9831932773109243,High,0.69,0.6375000000000002,0.06,0.4625000000000001,Medium,5,Late_Evening,-4,1,20349.0,0.6111552066258304,0.69,0.6375000000000002,0.06,4060,Very High Value,,,,1111.5,0.6637500000000001,157.1201111959123
2024-02-17 21:14:42,Truck_8,-65.526,-3.0202,154,In Transit,21.5,74.2,Detour,38,215,3,Weather,84.4,114,0,21,17,5,2,February,1,Very High,Low,1.3508771929824561,Low,0.07,0.6100000000000003,0.56,0.4133333333333335,Medium,7,Late_Evening,40,0,9621.6,0.14840824777844885,0.07000000000000006,0.6100000000000003,0.56,645,Low Value,,,,3207.2000000000003,0.3400000000000002,64.28173956530676
2024-03-04 06:44:50,Truck_2,-26.1836,-30.3641,348,Delivered,27.3,71.6,Detour,30,211,2,,96.4,115,0,6,4,0,3,March,0,Very High,Medium-High,3.026086956521739,Low,0.075,0.91,0.3999999999999999,0.4616666666666667,Medium,10,Morning,233,0,11086.0,0.21157794840824778,0.07500000000000007,0.9100000000000001,0.39999999999999997,422,Low Value,,,,2892.0,0.4925000000000001,39.87127051296241
2024-08-28 12:19:14,Truck_3,2.6709,-80.8879,163,In Transit,25.1,76.8,Heavy,54,320,5,Weather,93.2,231,1,12,28,2,8,August,0,Very High,Low,0.7056277056277056,Medium-Low,0.655,0.8300000000000001,0.8800000000000001,0.7883333333333334,High,35,Afternoon,-68,1,21529.2,0.662065395565525,0.655,0.8300000000000001,0.8800000000000001,1600,High Value,,,,5032.8,0.7425,81.82430063281241
2024-01-04 22:52:43,Truck_5,-22.4793,-54.5143,130,Delayed,23.7,68.1,Clear,45,487,4,Traffic,84.1,256,1,22,4,3,1,January,0,Very High,Low,0.5078125,Medium-Low,0.78,0.6025,0.7,0.6941666666666667,High,1,Late_Evening,-126,1,21529.6,0.6620826503321543,0.78,0.6025,0.7,1948,High Value,,,,3784.4999999999995,0.69125,59.24350383167546
2024-10-30 17:52:03,Truck_4,-34.5353,-40.8617,391,Delayed,21.6,72.5,Clear,58,298,7,Traffic,61.5,170,1,17,30,2,10,October,0,High,Medium-High,2.3,Medium-High,0.35,0.0375,0.96,0.4491666666666667,Medium,44,Evening,221,0,10455.0,0.1843585540505565,0.35,0.03750000000000009,0.96,2086,High Value,,,,3567.0,0.19375000000000003,53.28583344434303
2024-07-15 15:42:02,Truck_7,-8.7105,-17.8347,344,Delayed,21.4,53.5,Detour,23,461,9,,93.4,106,1,15,15,0,7,July,0,Very High,Medium-High,3.2452830188679247,High,0.03,0.8350000000000004,0.26,0.3750000000000001,Medium,29,Afternoon,238,0,9900.400000000001,0.16043482011905796,0.030000000000000027,0.8350000000000004,0.26,4149,Very High Value,,,,2148.2000000000003,0.4325000000000002,20.066456984994286
2024-01-19 06:42:30,Truck_5,14.6629,116.0696,409,Delayed,27.5,66.6,Detour,29,492,3,,72.6,204,1,6,19,4,1,January,0,High,High,2.0049019607843137,Low,0.52,0.3149999999999999,0.3799999999999999,0.4049999999999999,Medium,3,Morning,205,0,14810.4,0.37223708049348636,0.52,0.31499999999999995,0.37999999999999995,1476,High Value,,,,2105.3999999999996,0.4175,116.3412099166661
2024-04-28 21:23:34,Truck_10,75.7743,108.9425,457,In Transit,25.5,75.9,Clear,21,315,3,Traffic,83.4,248,0,21,28,6,4,April,1,Very High,High,1.842741935483871,Low,0.74,0.5850000000000004,0.2199999999999999,0.5150000000000001,Medium,17,Late_Evening,209,0,20683.2,0.625571564144595,0.74,0.5850000000000004,0.21999999999999997,945,Medium Value,,,,1751.4,0.6625000000000002,132.8024965100635
2024-03-06 20:00:26,Truck_5,50.3419,108.5647,207,Delivered,29.3,59.4,Detour,31,174,5,Mechanical Failure,65.9,195,0,20,6,2,3,March,0,High,Medium-Low,1.0615384615384615,Medium-Low,0.475,0.1475000000000002,0.42,0.3475000000000001,Medium,10,Late_Evening,12,0,12850.500000000002,0.2876930377016652,0.475,0.1475000000000002,0.42,870,Medium Value,,,,2042.9,0.3112500000000001,119.4920200278403
2024-11-20 16:38:07,Truck_8,-6.6729,132.6727,155,Delivered,19.4,53.2,Heavy,20,152,1,Mechanical Failure,99.3,235,1,16,20,2,11,November,0,Very High,Low,0.6595744680851063,Low,0.675,0.9825,0.2,0.6191666666666666,Medium,47,Evening,-80,1,23335.5,0.7399836079717022,0.675,0.9824999999999999,0.2,152,Low Value,,,,1986.0,0.82875,131.9426573304874
2024-01-07 09:13:28,Truck_6,-74.1751,-102.7331,314,Delivered,19.9,64.8,Detour,57,396,10,Weather,78.6,135,0,9,7,6,1,January,1,Very High,Medium-High,2.325925925925926,High,0.175,0.4649999999999998,0.9400000000000002,0.5266666666666667,Medium,1,Morning,179,0,10611.0,0.19108791303597622,0.17500000000000004,0.46499999999999986,0.9400000000000002,3960,Very High Value,,,,4480.2,0.31999999999999995,126.60490134994862
2024-09-25 15:12:12,Truck_10,-33.2264,169.6187,156,In Transit,27.2,74.4,Clear,35,354,2,Weather,63.1,282,0,15,25,2,9,September,0,High,Low,0.5531914893617021,Low,0.91,0.0775000000000001,0.5,0.4958333333333333,Medium,39,Afternoon,-126,1,17794.2,0.5009490121646105,0.9099999999999999,0.07750000000000012,0.5,708,Low Value,,,,2208.5,0.49375,171.7635214338406
2024-02-11 13:30:18,Truck_2,-34.4469,93.1585,119,In Transit,28.1,72.4,Detour,41,176,2,,60.9,238,0,13,11,6,2,February,1,High,Low,0.5,Low,0.69,0.0224999999999999,0.6200000000000001,0.4441666666666666,Medium,6,Afternoon,-119,1,14494.199999999999,0.35859718747303937,0.69,0.022499999999999964,0.6200000000000001,352,Low Value,,,,2496.9,0.35624999999999996,98.07133708242377
