Feature,Mean_Absolute_SHAP
num__Latitude,0.006554670563467707
num__Longitude,0.005352368711214697
num__Inventory_Level,0.004515754485901109
num__Temperature,0.007758882960996772
num__Humidity,0.004300666026716708
num__Waiting_Time,0.005218810158037403
num__User_Transaction_Amount,0.003744020014214023
num__User_Purchase_Frequency,0.0025708947162285385
num__Asset_Utilization,0.004326277743406171
num__Demand_Forecast,0.002659898799150504
num__Hour,0.005399219327548478
num__Day,0.0038756530583535843
num__Day_of_Week,0.001954655198150029
num__Month,0.0016997070957583283
num__Is_Weekend,0.0005611953002246538
num__Inventory_Coverage,0.003461251748572308
num__Demand_Normalized,0.004279821879391899
num__Utilization_Normalized,0.0036564024658706216
num__Waiting_Normalized,0.004400217995033303
num__Operational_Stress_Score,0.005660569275461364
num__Week_of_Year,0.003338732798234353
num__Inventory_Demand_Gap,0.005729262137001464
num__Stock_Risk,0.00039384975837877584
num__Fleet_Load_Index,0.0034891348616821615
num__Fleet_Load_Index_Normalized,0.0047707138262687325
num__Demand_Score,0.002838791057855185
num__Utilization_Score,0.004055157279871251
num__Waiting_Score,0.005001754990280679
num__Customer_Value_Index,0.004158494646401126
num__Utilization_Waiting_Interaction,0.004965484271077548
num__Pre_Dispatch_Stress_Score,0.0032568198779460377
num__Distance_From_Center,0.00443891303161108
cat__Asset_ID_Truck_1,0.0005675690253895878
cat__Asset_ID_Truck_10,0.002781643760569419
cat__Asset_ID_Truck_2,0.00033419827150621813
cat__Asset_ID_Truck_3,0.0004840474175502367
cat__Asset_ID_Truck_4,0.00043184254825803277
cat__Asset_ID_Truck_5,0.0004963251520703704
cat__Asset_ID_Truck_6,0.00046178075321330766
cat__Asset_ID_Truck_7,0.0005867085676681469
cat__Asset_ID_Truck_8,0.0007517131527177721
cat__Asset_ID_Truck_9,0.0005300336745048908
cat__Traffic_Status_Clear,0.06124894444402539
cat__Traffic_Status_Detour,0.055508086660497315
cat__Traffic_Status_Heavy,0.12246281926831182
cat__Month_Name_April,0.00034929985749964883
cat__Month_Name_August,0.00022631529085583696
cat__Month_Name_December,0.0003691771664319866
cat__Month_Name_February,0.00032143827416136425
cat__Month_Name_January,0.00029057466400448083
cat__Month_Name_July,0.0005325676433828214
cat__Month_Name_June,0.0018997636638160603
cat__Month_Name_March,0.0006605966715428005
cat__Month_Name_May,0.0003628734603698265
cat__Month_Name_November,0.00018430087169083812
cat__Month_Name_October,0.0005488559693085275
cat__Month_Name_September,0.0006115296750717482
cat__Utilization_Band_High,0.0005814213287178447
cat__Utilization_Band_Very High,0.0006523495498024747
cat__Inventory_Band_High,0.0007786347104758157
cat__Inventory_Band_Low,0.0005095855030959846
cat__Inventory_Band_Medium-High,0.0008698487712311771
cat__Inventory_Band_Medium-Low,0.0010447647916213452
cat__Purchase_Frequency_Band_High,0.0006832736395362436
cat__Purchase_Frequency_Band_Low,0.0007271161159266901
cat__Purchase_Frequency_Band_Medium-High,0.0017672283542850898
cat__Purchase_Frequency_Band_Medium-Low,0.0060188420805813185
cat__Operational_Stress_Level_High,0.0004415107492753724
cat__Operational_Stress_Level_Low,0.00043306671981081893
cat__Operational_Stress_Level_Medium,0.00035228474502210257
cat__Time_Period_Afternoon,0.0020985878453357435
cat__Time_Period_Evening,0.0009348453473354796
cat__Time_Period_Late_Evening,0.0008234254132855179
cat__Time_Period_Morning,0.0008801549605085241
cat__Time_Period_Night,0.0011223570020140595
cat__Customer_Value_Segment_High Value,0.001815818191508302
cat__Customer_Value_Segment_Low Value,0.0005183982716715548
cat__Customer_Value_Segment_Medium Value,0.0006471730351032968
cat__Customer_Value_Segment_Very High Value,0.000855212924843544
