Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Hour,Day,Day_of_Week,Month,Month_Name,Is_Weekend,Utilization_Band,Inventory_Band,Inventory_Coverage,Purchase_Frequency_Band,Demand_Normalized,Utilization_Normalized,Waiting_Normalized,Operational_Stress_Score,Operational_Stress_Level,Week_of_Year,Time_Period,Inventory_Demand_Gap,Stock_Risk,Fleet_Load_Index,Fleet_Load_Index_Normalized,Demand_Score,Utilization_Score,Waiting_Score,Customer_Value_Index,Customer_Value_Segment,Traffic_Level,Traffic_Utilization_Interaction,Demand_Traffic_Interaction,Utilization_Waiting_Interaction,Pre_Dispatch_Stress_Score,Distance_From_Center,Actual_Delay,Delay_Probability,Predicted_Delay,Risk_Level
2024-06-17 14:27:56,Truck_6,-71.8307,-53.6072,274,Delivered,21.5,74.0,Heavy,23,448,5,Mechanical Failure,74.7,200,14,17,0,6,June,0,High,Medium-Low,1.37,Medium-Low,0.5,0.3675000000000001,0.26,0.3758333333333334,Medium,25,Afternoon,74,0,14940.0,0.3778276248813735,0.5,0.3675000000000001,0.26,2240,High Value,,,,1718.1,0.4337500000000001,89.05213498625446,1,0.9625407785930697,1,Critical Risk
2024-09-27 15:16:09,Truck_8,-3.7749,-110.6148,211,In Transit,19.8,52.8,Heavy,23,423,1,Traffic,80.6,185,15,27,4,9,September,0,Very High,Medium-Low,1.1405405405405404,Low,0.425,0.5150000000000001,0.26,0.4000000000000001,Medium,39,Afternoon,26,0,14910.999999999998,0.3765766543007505,0.425,0.5150000000000001,0.26,423,Low Value,,,,1853.8,0.4700000000000001,111.47800643179588,1,0.9575477064436558,1,Critical Risk
2024-03-10 06:12:13,Truck_9,7.9549,-109.2897,434,Delivered,22.0,69.2,Heavy,17,233,10,,63.4,138,6,10,6,3,March,1,High,High,3.1449275362318843,High,0.19,0.0849999999999999,0.14,0.1383333333333333,Low,10,Morning,296,0,8749.199999999999,0.1107756017599861,0.19,0.0849999999999999,0.14,2330,High Value,,,,1077.8,0.1375,110.51999778511446,1,0.9557493293762993,1,Critical Risk
2024-10-11 10:29:57,Truck_10,-48.6056,-11.5509,420,Delayed,29.9,64.6,Heavy,34,282,10,Mechanical Failure,79.4,134,10,11,4,10,October,0,Very High,High,3.1343283582089554,High,0.17,0.4850000000000003,0.48,0.3783333333333334,Medium,41,Morning,286,0,10639.6,0.1923216288499698,0.17,0.4850000000000003,0.48,2820,Very High Value,,,,2699.6000000000004,0.3275000000000002,48.84259664915929,1,0.9536628862834683,1,Critical Risk
2024-02-27 01:39:05,Truck_5,13.7939,25.2973,472,In Transit,22.7,53.0,Heavy,30,389,6,Weather,86.8,232,1,27,1,2,February,0,Very High,High,2.034482758620689,Medium-Low,0.6599999999999999,0.6699999999999999,0.3999999999999999,0.5766666666666665,Medium,9,Night,240,0,20137.6,0.6020360624622552,0.6599999999999999,0.6699999999999999,0.3999999999999999,2334,High Value,,,,2604.0,0.6649999999999999,28.77407471311469,1,0.9527897613941088,1,Critical Risk
2024-08-19 08:18:25,Truck_7,-47.9015,-121.4183,332,In Transit,24.4,69.5,Heavy,27,343,5,Traffic,87.6,235,8,19,0,8,August,0,Very High,Medium-High,1.4127659574468086,Medium-Low,0.675,0.69,0.34,0.5683333333333334,Medium,34,Morning,97,0,20586.0,0.6213786558536797,0.675,0.69,0.34,1715,High Value,,,,2365.2,0.6825,130.81465108096074,1,0.9499674509604146,1,Critical Risk
2024-06-15 02:50:21,Truck_7,68.1229,9.8155,382,Delivered,20.6,72.8,Heavy,10,128,1,Weather,79.2,157,2,15,5,6,June,1,Very High,Medium-High,2.43312101910828,Low,0.285,0.4800000000000002,0.0,0.255,Low,24,Night,225,0,12434.4,0.2697437667155552,0.285,0.4800000000000002,0.0,128,Low Value,,,,792.0,0.3825000000000001,70.06067973411866,1,0.9480186764803484,1,Critical Risk
2024-07-31 03:43:10,Truck_10,56.2829,49.0292,201,In Transit,24.4,50.8,Heavy,13,367,2,,88.3,174,3,31,2,7,July,0,Very High,Low,1.1551724137931034,Low,0.37,0.7075,0.06,0.3791666666666667,Medium,31,Night,27,0,15364.2,0.3961263048917263,0.37,0.7075,0.06,734,Medium Value,,,,1147.9,0.5387500000000001,75.13453282964423,1,0.9459843533850346,1,Critical Risk
2024-04-18 23:06:56,Truck_2,-76.791,18.3631,276,Delivered,18.0,64.3,Heavy,10,361,5,,88.6,242,23,18,3,4,April,0,Very High,Medium-Low,1.140495867768595,Medium-Low,0.71,0.7149999999999999,0.0,0.4749999999999999,Medium,16,Late_Evening,34,0,21441.2,0.658269346907083,0.71,0.7149999999999999,0.0,1805,High Value,,,,886.0,0.7124999999999999,77.44019794878616,1,0.9446675549726782,1,Critical Risk
2024-07-23 23:11:06,Truck_10,49.6418,-121.3862,318,In Transit,22.5,59.3,Heavy,18,331,9,,97.3,273,23,23,1,7,July,0,Very High,Medium-High,1.164835164835165,High,0.865,0.9325,0.1599999999999999,0.6525,Medium,30,Late_Evening,45,0,26562.9,0.8792036925200586,0.865,0.9325,0.1599999999999999,2979,Very High Value,,,,1751.4,0.89875,132.43759141744192,1,0.9440311072418652,1,Critical Risk
