,Mean,Median,Std,Skewness,Kurtosis
Latitude,-1.3600926,-4.50315,51.99718282407447,0.03398184635899609,-1.1751188002439221
Longitude,0.8370489,0.6783,104.84361812884038,-0.0019746010628006894,-1.1978916089055318
Inventory_Level,297.915,299.0,113.55477295764129,0.015786643538057338,-1.1837197063574472
Temperature,23.8939,23.8,3.322178450905318,0.015239358068091364,-1.0686985374523066
Humidity,65.0422,65.2,8.753765336560466,-0.0545881343260915,-1.2017090053126422
Waiting_Time,35.062,35.0,14.477767844587154,0.006115987152905367,-1.2077272609098146
User_Transaction_Amount,299.055,301.5,117.78779197751753,0.001519567821199359,-1.2518831796184156
User_Purchase_Frequency,5.513,6.0,2.935378586732459,-0.003309615393648824,-1.2882371871411973
Asset_Utilization,79.5991,79.25,11.631152690206715,0.04377770171471913,-1.2327019359011244
Demand_Forecast,199.284,202.0,59.92084655486646,-0.016835054757628694,-1.3087891657414292
Logistics_Delay,0.566,1.0,0.4958728565770563,-0.2667307300728664,-1.9327241777409485
