,count,mean,std,min,25%,50%,75%,max,Median,Skewness,Kurtosis
Latitude,1000.0,-1.3600926,51.99718282407447,-89.7915,-46.167975,-4.50315,44.5028,89.8701,-4.50315,0.03398184635899609,-1.1751188002439221
Longitude,1000.0,0.8370489,104.84361812884038,-179.8202,-88.448075,0.6783,88.15644999999999,179.9237,0.6783,-0.0019746010628006894,-1.1978916089055318
Inventory_Level,1000.0,297.915,113.55477295764129,100.0,201.0,299.0,399.0,500.0,299.0,0.015786643538057338,-1.1837197063574472
Temperature,1000.0,23.8939,3.322178450905318,18.0,21.2,23.8,26.6,30.0,23.8,0.015239358068091364,-1.0686985374523066
Humidity,1000.0,65.0422,8.753765336560466,50.0,57.2,65.2,72.4,80.0,65.2,-0.0545881343260915,-1.2017090053126422
Waiting_Time,1000.0,35.062,14.477767844587154,10.0,23.0,35.0,49.0,60.0,35.0,0.006115987152905367,-1.2077272609098146
User_Transaction_Amount,1000.0,299.055,117.78779197751753,100.0,191.75,301.5,405.0,500.0,301.5,0.001519567821199359,-1.2518831796184156
User_Purchase_Frequency,1000.0,5.513,2.935378586732459,1.0,3.0,6.0,8.0,10.0,6.0,-0.003309615393648824,-1.2882371871411973
Asset_Utilization,1000.0,79.5991,11.631152690206715,60.0,69.475,79.25,89.42500000000001,100.0,79.25,0.04377770171471913,-1.2327019359011244
Demand_Forecast,1000.0,199.284,59.92084655486646,100.0,144.0,202.0,251.25,300.0,202.0,-0.016835054757628694,-1.3087891657414292
Logistics_Delay,1000.0,0.566,0.4958728565770563,0.0,0.0,1.0,1.0,1.0,1.0,-0.2667307300728664,-1.9327241777409485
