Feature,Importance
cat__Traffic_Status_Heavy,0.1528014048799546
cat__Traffic_Status_Clear,0.050078918263817794
cat__Traffic_Status_Detour,0.04249434212593557
num__Latitude,0.029920023884974896
num__Inventory_Level,0.02545962005759148
num__Distance_From_Center,0.024653945213486274
num__User_Transaction_Amount,0.024472965134531947
num__Longitude,0.02409229422631193
num__Operational_Stress_Score,0.023842108664475663
num__Customer_Value_Index,0.023798579743046062
num__Inventory_Demand_Gap,0.023795828032192882
num__Utilization_Waiting_Interaction,0.02369881668866516
num__Temperature,0.0234424848370585
num__Humidity,0.022609550996348277
num__Inventory_Coverage,0.021965821899998128
num__Fleet_Load_Index_Normalized,0.02143465781261482
num__Utilization_Normalized,0.02102023635026708
num__Week_of_Year,0.020964574512986556
num__Day,0.020902685450244363
num__Utilization_Score,0.020734070228252324
num__Demand_Forecast,0.020689967247410748
num__Fleet_Load_Index,0.020558422326932075
num__Asset_Utilization,0.020180298355946265
num__Pre_Dispatch_Stress_Score,0.020120397275963927
num__Waiting_Score,0.019929116941350543
num__Demand_Normalized,0.019869671804602522
num__Demand_Score,0.0198119491121841
num__Waiting_Normalized,0.019476697445134743
num__Hour,0.018759414834317954
num__Waiting_Time,0.018658241438812638
num__Day_of_Week,0.013166353964429566
num__User_Purchase_Frequency,0.01286066473571107
num__Month,0.01278636072589235
cat__Purchase_Frequency_Band_Medium-Low,0.004015994161457433
cat__Inventory_Band_Medium-High,0.0038380224824912617
cat__Time_Period_Morning,0.003700156253492276
cat__Customer_Value_Segment_High Value,0.003571053473563138
cat__Purchase_Frequency_Band_Medium-High,0.003382680888603233
cat__Customer_Value_Segment_Very High Value,0.0033027012579277394
cat__Time_Period_Afternoon,0.0032968545148664608
cat__Inventory_Band_Medium-Low,0.0032036488699381414
cat__Asset_ID_Truck_3,0.0031230840370876567
num__Is_Weekend,0.003099691000116322
cat__Time_Period_Night,0.0030888285239933796
cat__Asset_ID_Truck_2,0.003064119279073251
cat__Customer_Value_Segment_Medium Value,0.003039217463074992
cat__Asset_ID_Truck_1,0.0030330233911776833
cat__Purchase_Frequency_Band_High,0.0030296607050430083
cat__Month_Name_July,0.003003449603026261
cat__Operational_Stress_Level_Medium,0.00299479131798332
cat__Time_Period_Late_Evening,0.002914443223291464
cat__Purchase_Frequency_Band_Low,0.002861432314843421
cat__Time_Period_Evening,0.0028274805591822893
cat__Asset_ID_Truck_10,0.002774364244951411
cat__Customer_Value_Segment_Low Value,0.002699988071590076
cat__Month_Name_June,0.002674213075040609
cat__Inventory_Band_High,0.0026730712406058356
cat__Asset_ID_Truck_4,0.0026519351396012904
cat__Asset_ID_Truck_8,0.0026482168699073104
cat__Month_Name_April,0.0026388941956031037
cat__Month_Name_September,0.0026364113462915245
cat__Asset_ID_Truck_9,0.0026323039759242276
cat__Month_Name_February,0.0025487581578466007
cat__Asset_ID_Truck_7,0.002537910999392845
cat__Inventory_Band_Low,0.0024824530194198524
cat__Utilization_Band_High,0.0024735357636029875
cat__Asset_ID_Truck_5,0.0024531356713087746
cat__Month_Name_May,0.0022718874782993105
cat__Month_Name_August,0.0022414500333919206
cat__Utilization_Band_Very High,0.0022215099451254354
cat__Month_Name_January,0.002174243717586357
cat__Month_Name_March,0.002153458262823007
cat__Asset_ID_Truck_6,0.0021528877455508698
num__Stock_Risk,0.0021490208076646086
cat__Operational_Stress_Level_Low,0.0016320081000466607
cat__Operational_Stress_Level_High,0.0015429500266505413
cat__Month_Name_October,0.001494573580099088
