Feature,Importance
cat__Traffic_Status_Heavy,0.2200531112626835
cat__Traffic_Status_Clear,0.07507399702856497
cat__Traffic_Status_Detour,0.06439713534533252
num__Temperature,0.023499315196918932
num__Longitude,0.023476390133389632
num__Inventory_Level,0.022901112936063783
num__User_Transaction_Amount,0.0228287983342068
num__Humidity,0.022408316572915282
num__Latitude,0.02208730533554024
num__Distance_From_Center,0.021429153108073716
num__Fleet_Load_Index_Normalized,0.020640239650144415
num__Utilization_Waiting_Interaction,0.020475796838184717
num__Customer_Value_Index,0.020366000076429542
num__Inventory_Demand_Gap,0.02018398051942785
num__Hour,0.018909258721078643
num__Day,0.018885035095517776
num__Inventory_Coverage,0.018676284371565956
num__Utilization_Normalized,0.018221723661468625
num__Pre_Dispatch_Stress_Score,0.018022556704353494
num__Waiting_Time,0.017970629405975064
num__Demand_Normalized,0.01792437500906168
num__Operational_Stress_Score,0.01785099375868259
num__Asset_Utilization,0.01785038062554664
num__Waiting_Normalized,0.01735447908387152
num__Utilization_Score,0.017330111550332233
num__Week_of_Year,0.0173024715795021
num__Fleet_Load_Index,0.01728656323899071
num__Waiting_Score,0.016930101426231307
num__Demand_Forecast,0.015924890027438816
num__Demand_Score,0.01553619809640951
num__Month,0.01100573942403731
num__User_Purchase_Frequency,0.010276812198430827
num__Day_of_Week,0.009945457063384138
cat__Purchase_Frequency_Band_Medium-Low,0.005432333672366698
cat__Time_Period_Morning,0.0031453168785858885
cat__Purchase_Frequency_Band_Medium-High,0.00307399136911566
cat__Asset_ID_Truck_10,0.002850326394480235
cat__Customer_Value_Segment_High Value,0.0027993015702922584
cat__Inventory_Band_Medium-High,0.0027424054359367752
cat__Inventory_Band_Medium-Low,0.002689930361575014
cat__Time_Period_Afternoon,0.0026045703853893967
cat__Month_Name_June,0.002559207728690172
cat__Time_Period_Evening,0.0025373182188190998
cat__Customer_Value_Segment_Medium Value,0.0025321900325605095
cat__Purchase_Frequency_Band_Low,0.002383543442943964
cat__Time_Period_Night,0.0023758817251878723
num__Is_Weekend,0.0023564333528085226
cat__Time_Period_Late_Evening,0.002271326460807126
cat__Asset_ID_Truck_4,0.0020762661008671825
cat__Asset_ID_Truck_8,0.002056464739538263
cat__Month_Name_July,0.0019290062056372557
cat__Inventory_Band_Low,0.001811693734883949
cat__Customer_Value_Segment_Very High Value,0.0017837923465542141
cat__Month_Name_December,0.0017241955334938667
cat__Asset_ID_Truck_2,0.0016991739632328147
cat__Asset_ID_Truck_5,0.0016409428208295504
cat__Utilization_Band_High,0.0016395079333269872
cat__Month_Name_February,0.0015763254356775187
cat__Month_Name_March,0.0015601728572975182
cat__Asset_ID_Truck_1,0.0015481757430248896
cat__Asset_ID_Truck_7,0.0015243429430056917
cat__Purchase_Frequency_Band_High,0.0014927144471017098
cat__Utilization_Band_Very High,0.0014892066744748125
cat__Customer_Value_Segment_Low Value,0.00147607545720349
cat__Month_Name_October,0.0014285344242333207
cat__Asset_ID_Truck_9,0.0014094670402710712
num__Stock_Risk,0.0013822515794700639
cat__Operational_Stress_Level_Medium,0.0013537733215046642
cat__Asset_ID_Truck_6,0.0013466471351614498
cat__Inventory_Band_High,0.0013334501106568076
cat__Month_Name_January,0.0012995471182330003
cat__Month_Name_May,0.0012016279357724223
cat__Month_Name_April,0.0011811700386139376
cat__Asset_ID_Truck_3,0.001118156118763985
cat__Month_Name_November,0.000986716438622377
cat__Operational_Stress_Level_Low,0.0009723874899174689
cat__Operational_Stress_Level_High,0.0009207044494069074
cat__Month_Name_September,0.0008349714055014703
cat__Month_Name_August,0.0008237480484072971
